29,28
29,28
39,57
39,57
36,76
36,76
44,106
54,141
54,141
79,184
79,184
164,289
115,181
164,289
115,181
229,324
229,324
296,362
363,410
363,410
398,451
398,451
418,563
418,563
399,593
356,603
356,603
262,626
262,626
240,594
630,277
240,594
630,277
238,553
638,273
264,504
264,504
395,431
395,431
424,461
435,504
617,271
435,504
617,271
616,275
616,275
418,595
418,595
387,617
387,617
609,272
609,272
296,643
258,630
258,630
240,594
240,594
230,567
230,567
248,519
248,519
280,473
604,283
321,454
604,283
321,454
367,438
367,438
410,451
410,451
443,481
443,481
595,285
453,564
453,564
424,592
424,592
386,615
386,615
341,628
341,628
299,641
598,286
598,286
243,594
243,594
222,573
222,573
207,539
207,539
211,512
602,282
211,512
602,282
224,469
246,442
246,442
262,401
262,401
276,388
597,283
276,388
597,283
286,376
286,376
279,386
262,411
597,280
262,411
597,280
244,413
244,413
215,433
215,433
200,480
200,480
189,531
189,560
189,560
218,605
600,284
218,605
600,284
578,269
255,613
578,269
255,613
290,651
599,287
290,651
599,287
343,644
595,293
595,293
598,291
403,497
598,291
403,497
392,458
392,458
363,426
309,426
309,426
605,291
265,446
605,291
265,446
604,292
224,480
604,292
224,480
205,511
205,511
210,546
210,546
223,581
242,630
242,630
282,640
282,640
326,642
326,642
362,620
362,620
388,563
608,288
616,286
616,286
380,481
614,292
380,481
614,292
343,453
343,453
295,459
295,459
244,500
209,510
209,510
198,548
198,548
219,583
219,583
252,626
635,282
252,626
635,282
377,620
637,285
377,620
637,285
414,601
414,601
433,550
433,550
410,456
365,415
365,415
297,379
297,379
237,327
237,327
174,270
174,270
96,164
49,139
49,139
