[10],0.575327534
"[10, 10]",0.529451246
"[10, 10, 10]",0.580997637
"[10, 10, 10, 10]",0.577904854
"[10, 10, 10, 10, 10]",0.57996671
"[10, 10, 10, 10, 10, 10]",0.578935782
"[10, 10, 10, 10, 10, 10, 10]",0.578935782
"[10, 10, 10, 10, 10, 10, 10, 10]",0.578935782
"[10, 10, 10, 10, 10, 10, 10, 10, 10]",0.578935782
"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",0.578935782
"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",0.578935782
"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",0.578935782
[10],0.546461555
"[10, 10]",0.582028565
"[10, 10, 10]",0.578935782
"[10, 10, 10, 10]",0.580997637
"[10, 10, 10, 10, 10]",0.57996671
"[10, 10, 10, 10, 10, 10]",0.583574957
"[10, 10, 10, 10, 10, 10, 10]",0.578420318
"[10, 10, 10, 10, 10, 10, 10, 10]",0.57481207
"[10, 10, 10, 10, 10, 10, 10, 10, 10]",0.580997637
"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",0.578935782
"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",0.578935782
"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",0.578935782
[30],0.554773411
"[30, 30]",0.585636813
"[30, 30, 30]",0.580482174
"[30, 30, 30, 30]",0.600649699
"[30, 30, 30, 30, 30]",0.590275988
"[30, 30, 30, 30, 30, 30]",0.590335052
"[30, 30, 30, 30, 30, 30, 30]",0.607307775
"[30, 30, 30, 30, 30, 30, 30, 30]",0.588214132
"[30, 30, 30, 30, 30, 30, 30, 30, 30]",0.584605885
"[30, 30, 30, 30, 30, 30, 30, 30, 30, 30]",0.592418385
"[30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30]",0.581513101
"[30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30]",0.578935782
[50],0.578935782
"[50, 50]",0.583542741
"[50, 50, 50]",0.587693299
"[50, 50, 50, 50]",0.6129564
"[50, 50, 50, 50, 50]",0.597535438
"[50, 50, 50, 50, 50, 50]",0.604708978
"[50, 50, 50, 50, 50, 50, 50]",0.58924506
"[50, 50, 50, 50, 50, 50, 50, 50]",0.594915163
"[50, 50, 50, 50, 50, 50, 50, 50, 50]",0.603269974
"[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",0.591306916
"[50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",0.57224012
"[50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",0.57996671
[60],0.523480455
"[60, 60]",0.584605885
"[60, 60, 60]",0.593390249
"[60, 60, 60, 60]",0.585180412
"[60, 60, 60, 60, 60]",0.610964347
"[60, 60, 60, 60, 60, 60]",0.620806486
"[60, 60, 60, 60, 60, 60, 60]",0.62288445
"[60, 60, 60, 60, 60, 60, 60, 60]",0.596590421
"[60, 60, 60, 60, 60, 60, 60, 60, 60]",0.603221649
"[60, 60, 60, 60, 60, 60, 60, 60, 60, 60]",0.600069802
"[60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60]",0.589293385
"[60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60]",0.586163015
[61],0.576267182
"[61, 61]",0.584605885
"[61, 61, 61]",0.588777921
"[61, 61, 61, 61]",0.596977019
