360,356,354,355,355,355,359,357,357,355,355,342,348,344,344,344,339,339,339,335,335,335,337,341,334,343,343,343,342,342,341,344,342,342,343,341,341,341,343,340,344,341,341,340,341,342,340,344,344,342,255,292,319,327,342,342,367,378,378,377,377,374,393,401,401,401,407,409,411,401,401,401,405,413,401,413,418,418,413,413,412,417,413,412,416,414,414,414,415,414,414,412,412,413,421,417,414,408,408,402
355,359,357,357,355,355,342,348,344,344,344,339,339,339,335,335,335,337,341,334,343,343,343,342,342,341,344,342,342,343,341,341,341,343,340,344,341,341,340,341,342,340,344,344,342,341,342,339,341,341,342,367,378,378,377,377,374,393,401,401,401,407,409,411,401,401,401,405,413,401,413,418,418,413,413,412,417,413,412,416,414,414,414,415,414,414,412,412,413,421,417,414,408,408,402,402,402,401,401,398
355,342,348,344,344,344,339,339,339,335,335,335,337,341,334,343,343,343,342,342,341,344,342,342,343,341,341,341,343,340,344,341,341,340,341,342,340,344,344,342,341,342,339,341,341,341,342,342,341,342,377,374,393,401,401,401,407,409,411,401,401,401,405,413,401,413,418,418,413,413,412,417,413,412,416,414,414,414,415,414,414,412,412,413,421,417,414,408,408,402,402,402,401,401,398,398,400,400,399,400
344,339,339,339,335,335,335,337,341,334,343,343,343,342,342,341,344,342,342,343,341,341,341,343,340,344,341,341,340,341,342,340,344,344,342,341,342,339,341,341,341,342,342,341,342,341,341,344,344,340,401,407,409,411,401,401,401,405,413,401,413,418,418,413,413,412,417,413,412,416,414,414,414,415,414,414,412,412,413,421,417,414,408,408,402,402,402,401,401,398,398,400,400,399,400,402,402,400,400,399
335,335,337,341,334,343,343,343,342,342,341,344,342,342,343,341,341,341,343,340,344,341,341,340,341,342,340,344,344,342,341,342,339,341,341,341,342,342,341,342,341,341,344,344,340,340,339,534,341,339,401,401,405,413,401,413,418,418,413,413,412,417,413,412,416,414,414,414,415,414,414,412,412,413,421,417,414,408,408,402,402,402,401,401,398,398,400,400,399,400,402,402,400,400,399,397,401,562,399,399
343,343,343,342,342,341,344,342,342,343,341,341,341,343,340,344,341,341,340,341,342,340,344,344,342,341,342,339,341,341,341,342,342,341,342,341,341,344,344,340,340,339,534,341,339,339,340,341,342,342,413,418,418,413,413,412,417,413,412,416,414,414,414,415,414,414,412,412,413,421,417,414,408,408,402,402,402,401,401,398,398,400,400,399,400,402,402,400,400,399,397,401,562,399,399,399,399,399,401,400
341,344,342,342,343,341,341,341,343,340,344,341,341,340,341,342,340,344,344,342,341,342,339,341,341,341,342,342,341,342,341,341,344,344,340,340,339,534,341,339,339,340,341,342,342,342,342,341,343,343,412,417,413,412,416,414,414,414,415,414,414,412,412,413,421,417,414,408,408,402,402,402,401,401,398,398,400,400,399,400,402,402,400,400,399,397,401,562,399,399,399,399,399,401,400,402,402,400,402,402
341,341,341,343,340,344,341,341,340,341,342,340,344,344,342,341,342,339,341,341,341,342,342,341,342,341,341,344,344,340,340,339,534,341,339,339,340,341,342,342,342,342,341,343,343,340,340,342,340,340,414,414,414,415,414,414,412,412,413,421,417,414,408,408,402,402,402,401,401,398,398,400,400,399,400,402,402,400,400,399,397,401,562,399,399,399,399,399,401,400,402,402,400,402,402,398,398,401,400,402
344,341,341,340,341,342,340,344,344,342,341,342,339,341,341,341,342,342,341,342,341,341,344,344,340,340,339,534,341,339,339,340,341,342,342,342,342,341,343,343,340,340,342,340,340,340,342,341,340,339,414,412,412,413,421,417,414,408,408,402,402,402,401,401,398,398,400,400,399,400,402,402,400,400,399,397,401,562,399,399,399,399,399,401,400,402,402,400,402,402,398,398,401,400,402,402,400,399,401,397
342,340,344,344,342,341,342,339,341,341,341,342,342,341,342,341,341,344,344,340,340,339,534,341,339,339,340,341,342,342,342,342,341,343,343,340,340,342,340,340,340,342,341,340,339,341,538,341,538,341,417,414,408,408,402,402,402,401,401,398,398,400,400,399,400,402,402,400,400,399,397,401,562,399,399,399,399,399,401,400,402,402,400,402,402,398,398,401,400,402,402,400,399,401,397,399,558,399,558,399
341,342,339,341,341,341,342,342,341,342,341,341,344,344,340,340,339,534,341,339,339,340,341,342,342,342,342,341,343,343,340,340,342,340,340,340,342,341,340,339,341,538,341,538,341,538,341,341,342,341,402,402,401,401,398,398,400,400,399,400,402,402,400,400,399,397,401,562,399,399,399,399,399,401,400,402,402,400,402,402,398,398,401,400,402,402,400,399,401,397,399,558,399,558,399,558,400,401,401,400
341,342,342,341,342,341,341,344,344,340,340,339,534,341,339,339,340,341,342,342,342,342,341,343,343,340,340,342,340,340,340,342,341,340,339,341,538,341,538,341,538,341,341,342,341,342,342,342,340,342,398,400,400,399,400,402,402,400,400,399,397,401,562,399,399,399,399,399,401,400,402,402,400,402,402,398,398,401,400,402,402,400,399,401,397,399,558,399,558,399,558,400,401,401,400,402,402,402,401,404
341,341,344,344,340,340,339,534,341,339,339,340,341,342,342,342,342,341,343,343,340,340,342,340,340,340,342,341,340,339,341,538,341,538,341,538,341,341,342,341,342,342,342,340,342,342,342,341,341,341,402,402,400,400,399,397,401,562,399,399,399,399,399,401,400,402,402,400,402,402,398,398,401,400,402,402,400,399,401,397,399,558,399,558,399,558,400,401,401,400,402,402,402,401,404,401,401,401,402,402
340,339,534,341,339,339,340,341,342,342,342,342,341,343,343,340,340,342,340,340,340,342,341,340,339,341,538,341,538,341,538,341,341,342,341,342,342,342,340,342,342,342,341,341,341,342,340,342,342,340,397,401,562,399,399,399,399,399,401,400,402,402,400,402,402,398,398,401,400,402,402,400,399,401,397,399,558,399,558,399,558,400,401,401,400,402,402,402,401,404,401,401,401,402,402,403,399,403,403,400
339,340,341,342,342,342,342,341,343,343,340,340,342,340,340,340,342,341,340,339,341,538,341,538,341,538,341,341,342,341,342,342,342,340,342,342,342,341,341,341,342,340,342,342,340,341,343,343,343,341,399,399,399,401,400,402,402,400,402,402,398,398,401,400,402,402,400,399,401,397,399,558,399,558,399,558,400,401,401,400,402,402,402,401,404,401,401,401,402,402,403,399,403,403,400,402,402,402,402,401
342,342,341,343,343,340,340,342,340,340,340,342,341,340,339,341,538,341,538,341,538,341,341,342,341,342,342,342,340,342,342,342,341,341,341,342,340,342,342,340,341,343,343,343,341,340,341,341,341,341,402,402,400,402,402,398,398,401,400,402,402,400,399,401,397,399,558,399,558,399,558,400,401,401,400,402,402,402,401,404,401,401,401,402,402,403,399,403,403,400,402,402,402,402,401,400,401,401,403,403
340,340,342,340,340,340,342,341,340,339,341,538,341,538,341,538,341,341,342,341,342,342,342,340,342,342,342,341,341,341,342,340,342,342,340,341,343,343,343,341,340,341,341,341,341,339,538,338,338,342,398,398,401,400,402,402,400,399,401,397,399,558,399,558,399,558,400,401,401,400,402,402,402,401,404,401,401,401,402,402,403,399,403,403,400,402,402,402,402,401,400,401,401,403,403,398,548,399,399,399
340,342,341,340,339,341,538,341,538,341,538,341,341,342,341,342,342,342,340,342,342,342,341,341,341,342,340,342,342,340,341,343,343,343,341,340,341,341,341,341,339,538,338,338,342,342,342,342,341,340,402,400,399,401,397,399,558,399,558,399,558,400,401,401,400,402,402,402,401,404,401,401,401,402,402,403,399,403,403,400,402,402,402,402,401,400,401,401,403,403,398,548,399,399,399,402,400,401,401,400
341,538,341,538,341,538,341,341,342,341,342,342,342,340,342,342,342,341,341,341,342,340,342,342,340,341,343,343,343,341,340,341,341,341,341,339,538,338,338,342,342,342,342,341,340,340,343,343,342,342,399,558,399,558,399,558,400,401,401,400,402,402,402,401,404,401,401,401,402,402,403,399,403,403,400,402,402,402,402,401,400,401,401,403,403,398,548,399,399,399,402,400,401,401,400,400,402,403,402,402
538,341,341,342,341,342,342,342,340,342,342,342,341,341,341,342,340,342,342,340,341,343,343,343,341,340,341,341,341,341,339,538,338,338,342,342,342,342,341,340,340,343,343,342,342,342,341,341,341,340,558,400,401,401,400,402,402,402,401,404,401,401,401,402,402,403,399,403,403,400,402,402,402,402,401,400,401,401,403,403,398,548,399,399,399,402,400,401,401,400,400,402,403,402,402,402,403,403,401,399
342,342,342,340,342,342,342,341,341,341,342,340,342,342,340,341,343,343,343,341,340,341,341,341,341,339,538,338,338,342,342,342,342,341,340,340,343,343,342,342,342,341,341,341,340,342,342,342,340,342,402,402,402,401,404,401,401,401,402,402,403,399,403,403,400,402,402,402,402,401,400,401,401,403,403,398,548,399,399,399,402,400,401,401,400,400,402,403,402,402,402,403,403,401,399,403,402,402,399,402
